               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1171,            0.019138,                   0,            0.077415,            0.083333,            0.011773,           0.0031271,            0.099033,            0.015971,                   0,              0.0014,              0.0014,              0.0874
                   1,            0.097111,            0.022082,                   0,            0.043059,            0.090909,            0.014539,           0.0028382,             0.08003,            0.016472,                   0,           0.0028713,           0.0028713,            0.073871
                   2,            0.085711,            0.024783,                   0,             0.24085,                 0.2,             0.12171,            0.028522,            0.071526,            0.015188,                   0,           0.0043129,           0.0043129,            0.060313
                   3,            0.077216,             0.02441,                   0,             0.22665,                0.36,             0.13218,            0.029839,            0.075344,            0.013699,                   0,           0.0057248,           0.0057248,            0.046725
                   4,            0.073799,            0.022631,                   0,             0.56967,             0.31786,             0.26478,            0.075666,            0.071295,              0.0129,                   0,            0.007107,            0.007107,            0.033107
                   5,            0.073961,            0.019458,                   0,             0.79987,              0.1599,             0.20561,            0.060078,            0.070083,            0.011986,                   0,           0.0084594,           0.0084594,            0.019459
                   6,            0.070688,            0.020857,                   0,             0.55942,             0.35577,             0.32763,              0.0855,            0.073726,            0.011198,                   0,            0.009406,            0.009406,            0.009406
                   7,            0.071643,            0.019017,                   0,             0.45501,                0.44,             0.38951,              0.1421,            0.068379,            0.010679,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.06424,            0.021376,                   0,             0.52497,                0.32,             0.31688,             0.11405,            0.074157,            0.010472,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.061788,            0.018886,                   0,             0.75576,                 0.4,             0.45666,             0.17305,            0.057322,            0.010642,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.063406,            0.019116,                   0,             0.55002,                 0.4,              0.4053,              0.1617,            0.060337,           0.0099053,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.054677,            0.018816,                   0,             0.72062,                0.52,             0.57975,             0.22468,            0.055189,            0.010229,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.058325,            0.014955,                   0,             0.71401,                 0.6,             0.62285,             0.18765,             0.05924,           0.0085155,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.050649,            0.019169,                   0,             0.84889,                0.68,             0.70636,              0.3146,            0.048769,           0.0093975,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.050036,            0.015888,                   0,             0.94111,             0.63925,             0.76539,             0.40493,            0.045917,           0.0083921,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.05214,            0.015018,                   0,             0.77212,                0.68,             0.70821,             0.32856,            0.050513,           0.0083821,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.048463,            0.015568,                   0,             0.79145,             0.75905,             0.74954,             0.39421,             0.05283,             0.00831,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.05093,            0.015438,                   0,             0.63239,                0.76,             0.71333,             0.35441,            0.048989,           0.0077938,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.049586,            0.016127,                   0,             0.80892,                0.68,             0.73338,             0.38215,            0.044514,           0.0075397,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.046953,            0.014592,                   0,             0.81804,                0.72,             0.70873,             0.41418,            0.050714,           0.0073359,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.044264,            0.014463,                   0,              0.8571,             0.71979,             0.76048,             0.41033,            0.049868,           0.0076577,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.050813,            0.013621,                   0,             0.78228,                0.72,             0.71873,             0.33524,            0.048357,           0.0078412,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.046495,            0.015178,                   0,             0.79987,              0.6395,             0.70973,             0.39717,            0.046171,           0.0080019,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.047131,            0.013723,                   0,             0.89998,             0.71988,             0.72461,             0.31619,            0.047607,           0.0077457,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.042568,             0.01447,                   0,             0.85638,                0.72,              0.7554,             0.32091,            0.046079,            0.007659,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.043019,            0.014441,                   0,              0.8571,             0.71976,             0.75889,             0.33092,             0.04437,           0.0075204,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.046309,            0.014347,                   0,             0.82346,                0.56,             0.61833,             0.20869,            0.049111,           0.0075778,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.040735,            0.013413,                   0,             0.84155,                0.64,             0.72152,             0.35312,             0.04311,           0.0086971,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.041382,            0.013975,                   0,             0.71985,             0.71947,             0.75266,             0.36293,            0.047458,           0.0079584,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.045912,            0.013051,                   0,             0.85493,                0.72,             0.72193,             0.21622,            0.050902,           0.0079119,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.045103,            0.013035,                   0,             0.79999,                0.64,             0.64624,              0.2904,             0.05192,           0.0079788,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.040885,            0.014616,                   0,             0.77247,                0.68,             0.67162,             0.26301,             0.05756,           0.0075089,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.040212,            0.013249,                   0,             0.84136,                0.64,             0.71584,             0.38113,            0.050256,           0.0072224,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.040755,            0.013386,                   0,             0.87483,             0.55917,             0.68265,             0.29418,             0.05381,           0.0076165,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.037894,            0.013352,                   0,             0.83309,                 0.8,             0.79351,             0.36074,            0.041849,           0.0075255,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.042144,            0.012184,                   0,             0.78243,                0.72,             0.73882,             0.32306,            0.046797,           0.0076395,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.035692,             0.01352,                   0,             0.93669,                 0.6,             0.71066,             0.33857,            0.050284,           0.0080636,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.034498,            0.011697,                   0,             0.94408,                0.68,             0.70442,             0.32349,            0.052228,           0.0080628,                   0,            0.006436,            0.006436,            0.006436
